ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
235,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,ami,Acmaea mitra,Whitecap limpet,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,hcr,Hermissenda crassicornis,Opalescent nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,pbe,Pagurus beringanus,Bering hermit crab,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,das,Diodora aspera,Rough keyhole limpet,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,cfo,Ceratostoma foliatum,Leafy hornmouth,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,sdr,Strongylocentrotus droebachiensis,Northern sea urchin,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,oko,Orthasterias koehleri,Rainbow star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,hermit,Paguroidea spp.,Unidentified hermit crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,aha,Artedius harringtoni,Scalyhead sculpin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,henricia,Henricia spp.,Unidentified blood star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,cgi,Crassadoma gigantea,Purple-hinged rock scallop,2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,hpu,Henricia pumila,Dwarf mottled henricia,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,2,1,dez,Debris - Zero,No Debris found,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Em Lim,Claire Attridge,BMSC19,Ed King SW Pyramid,48.82860184,-125.2212982,25/04/2024,3,W,12:06,CMA,8.5,0,0,mno,Megaptera novaeangliae,Humpback whale,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,1,1,rni,Rhinogobiops nicholsii,Blackeye goby,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,1,1,oel,Ophiodon elongatus,Lingcod,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,mfra,Mesocentrotus franciscanus,Red sea urchin,260,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,ami,Acmaea mitra,Whitecap limpet,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,pgi,Pomaulax gibberosus,Red turban shell,140,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,hcr,Hermissenda crassicornis,Opalescent nudibranch,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,hka,Haliotis kamtschatkana,Pinto abalone,17,0,3,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,henricia,Henricia spp.,Unidentified blood star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,hexagrammos,Hexagrammos spp.,0,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,cfo,Ceratostoma foliatum,Leafy hornmouth,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,phem,Pagurus hemphilli,Maroon hermit,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,spu,Strongylocentrotus purpuratus,Purple sea urchin (?),3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,poc,Pisaster ochraceus,Purple sea star,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,pmi,Patiria miniata,Bat star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,dim,Dermasterias imbricata,Leather star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,etr,Evasterias troschelii,Mottled starfish,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,gor,Glebocarcinus oregonensis,Pygmy rock crab,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,cgi,Crassadoma gigantea,Purple-hinged rock scallop,2,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,sfo,Stylasterias forreri,Velcro seastar,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,aca,Apostichopus californicus,California sea cucumber,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,dalb,Dendronotus albus,White frond-aeolis,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,pbe,Pagurus beringanus,Bering hermit crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,phe,Pycnopodia helianthoides,Sunflower star,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,pri,Pugettia richii,Cryptic kelp crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,cpr,Cancer productus,Red rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Em Lim,Claire Attridge,BMSC1,Dodger Channel,48.82894897,-125.1975708,25/04/2024,3,NE,14:17,CMA,5,2,1,dez,Debris - Zero,No Debris found,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,1,1,hde,Hexagrammos decagrammus,Kelp greenling,8,0,,,,,2,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,1,1,zca,Zalophus californianus,California sea lion,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
278,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,mfra,Mesocentrotus franciscanus,Red sea urchin,382,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,aca,Apostichopus californicus,California sea cucumber,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,dim,Dermasterias imbricata,Leather star,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,pgi,Pomaulax gibberosus,Red turban shell,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,hka,Haliotis kamtschatkana,Pinto abalone,13,0,4,5,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,14,0,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,oko,Orthasterias koehleri,Rainbow star,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,cfo,Ceratostoma foliatum,Leafy hornmouth,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,gor,Glebocarcinus oregonensis,Pygmy rock crab,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,hcr,Hermissenda crassicornis,Opalescent nudibranch,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,ami,Acmaea mitra,Whitecap limpet,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,sac,Scyra acutifrons,Sharpnose crab,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,henricia,Henricia spp.,Unidentified blood star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,das,Diodora aspera,Rough keyhole limpet,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,pmi,Patiria miniata,Bat star,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,1,jzo,Jordania zonope,Longfin sculpin,5,0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,0,1,opi,Oxylebius pictus,Painted greenling,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,2,aha,Artedius harringtoni,Scalyhead sculpin,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,2,phem,Pagurus hemphilli,Maroon hermit,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,2,spu,Strongylocentrotus purpuratus,Purple sea urchin (?),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,0,2,sca,Sebastes caurinus,Copper rockfish,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,2,ppu,Pachycheles pubescens,Pubescent porcelain crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,2,cnu,Chirolophis nugator,Mosshead warbonnet,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,2,phe,Pycnopodia helianthoides,Sunflower star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Em Lim,Claire Attridge,BMSC12,Wizard Island North,48.858284,-125.1609192,26/04/2024,2.5,NE,9:29,CMA,4.5,2,2,dez,Debris - Zero,No Debris found,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,1,1,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,1,1,rni,Rhinogobiops nicholsii,Blackeye goby,9,0,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,mfra,Mesocentrotus franciscanus,Red sea urchin,220,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,dim,Dermasterias imbricata,Leather star,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,62,0,11,31,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,pgi,Pomaulax gibberosus,Red turban shell,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,cfo,Ceratostoma foliatum,Leafy hornmouth,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,aca,Apostichopus californicus,California sea cucumber,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,cgi,Crassadoma gigantea,Purple-hinged rock scallop,12,0,,,4,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,hcr,Hermissenda crassicornis,Opalescent nudibranch,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,oko,Orthasterias koehleri,Rainbow star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,gor,Glebocarcinus oregonensis,Pygmy rock crab,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,sac,Scyra acutifrons,Sharpnose crab,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,phem,Pagurus hemphilli,Maroon hermit,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,afu,Antiopella fusca,White-and-orange-tipped nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,chlamys,Chlamys spp.,0,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,ptr,Polycera tricolor,Tricolour nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,dal,Dirona albolineata,White-line dirona,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,pte,Pteraster tesselatus,Slime star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,hka,Haliotis kamtschatkana,Pinto abalone,11,0,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,aha,Artedius harringtoni,Scalyhead sculpin,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,ppu,Pachycheles pubescens,Pubescent porcelain crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,ami,Acmaea mitra,Whitecap limpet,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Em Lim,Claire Attridge,BMSC11,Wizard Island South,48.85746765,-125.1582336,26/04/2024,1.5,SW,11:48,CMA,7.5,2,1,dmo,Doris montereyensis,Monterey sea lemon,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
